personID | email | password | role
1 | aisha.khan26@gmail.com | Kv5UanC@jz8Cya | User
2 | mateorodriguez@icloud.com | X7joM#ssqeOeIX | User
3 | chloe.martin@outlook.com | bPS@6o4Fci4vIx | User
4 | arjunmehta88@gmail.com | hzMQnYSm#WHV9D | User
5 | sofia.rossi@icloud.com | L$#wvLVtbe7$r8 | User
6 | noahwilliams@proton.me | 2zA%Keu@h#saco | User
7 | yuna.park03@gmail.com | Ie%40B4QhM!p$i | User
8 | liamoconnor@outlook.com | @dDZCC3whFI$j5 | User
9 | fatima.zahra@icloud.com | hhtAfx%9QMft4$ | User
10 | ethanchen98@gmail.com | #c7%ag#TloZ3wa | User
11 | grace.liu@outlook.com | zIUDQ1Lu!yGt@M | User
12 | omarhassan@icloud.com | Xm9inM6B#g!@mN | User
13 | emily.carter@notgooglelibrary.ca | qascRYd1L7vsp@ | Employee
14 | danielkim@notgooglelibrary.ca | s6oU#@p%1vStrc | Employee
15 | priya.patel@notgooglelibrary.ca | Y7pre5!0l5$8uV | Employee
16 | lucassilva@notgooglelibrary.ca | G7tX6TFtA$5AKn | Employee
17 | maya.thompson@notgooglelibrary.ca | 3ZXp8v4zweDqP# | Employee
18 | gabrielnakamura@notgooglelibrary.ca | GHmhlUW8Q#M6ow | Employee
19 | isabella.brown@notgooglelibrary.ca | xkNEEp$NTsx5Od | Employee
20 | samueladeyemi@notgooglelibrary.ca | %95xcW$2mTqNY! | Employee
21 | nora.andersen@notgooglelibrary.ca | Wqig@I6Vpw7Qa@ | Employee
22 | hugolaurent@notgooglelibrary.ca | ZDpe%U91cwjqjK | Employee
23 | zainab.ali@gmail.com | ZhyLqbf83n4Mx% | User
24 | jackmurphy@icloud.com | z2HaX92%QgX7yH | User
25 | camila.santos@outlook.com | xBdI2E5cKrjlN# | User
26 | weizhang@gmail.com | C0894PTnkCZQt# | User
27 | layla.johnson@icloud.com | 1h9O#MO$kdPf7y | User
28 | benjamintaylor@yahoo.com | zhsLO%IFb8#ZEB | User
